voyage_id,vessel_id,registry_craft_code,year,category,month_num,month_name,track_label
1,1,2111929706,2018,cargo,4,Apr,2018CargoApr1
2,2,END,2018,cargo,4,Apr,
3,3,2103733967,2018,cargo,4,Apr,2018CargoApr2
4,4,2101598783,2018,cargo,4,Apr,2018CargoApr3
5,4,2101598783,2018,cargo,4,Apr,2018CargoApr4
6,4,2101598783,2018,cargo,4,Apr,2018CargoApr5
7,5,2100848266,2018,cargo,4,Apr,2018CargoApr6
8,6,2099678900,2018,cargo,4,Apr,2018CargoApr7
9,6,2099678900,2018,cargo,4,Apr,2018CargoApr8
10,7,2098282982,2018,cargo,4,Apr,2018CargoApr9
11,7,2098282982,2018,cargo,4,Apr,2018CargoApr10
12,8,2098278268,2018,cargo,4,Apr,2018CargoApr11
13,8,2098278268,2018,cargo,4,Apr,2018CargoApr12
14,8,2098278268,2018,cargo,4,Apr,2018CargoApr13
15,8,2098278268,2018,cargo,4,Apr,2018CargoApr14
16,9,2097055927,2018,cargo,4,Apr,2018CargoApr15
17,10,2095602772,2018,cargo,4,Apr,2018CargoApr16
18,10,2095602772,2018,cargo,4,Apr,2018CargoApr17
19,11,2095584406,2018,cargo,4,Apr,2018CargoApr18
20,12,2081111734,2018,cargo,4,Apr,2018CargoApr19
21,13,2078057370,2018,cargo,4,Apr,2018CargoApr20
22,13,2078057370,2018,cargo,4,Apr,2018CargoApr21
23,13,2078057370,2018,cargo,4,Apr,2018CargoApr22
24,14,2073963909,2018,cargo,4,Apr,2018CargoApr23
25,14,2073963909,2018,cargo,4,Apr,2018CargoApr24
26,15,2073761092,2018,cargo,4,Apr,2018CargoApr25
27,15,2073761092,2018,cargo,4,Apr,2018CargoApr26
28,16,2067576932,2018,cargo,4,Apr,2018CargoApr27
29,16,2067576932,2018,cargo,4,Apr,2018CargoApr28
30,16,2067576932,2018,cargo,4,Apr,2018CargoApr29
31,17,1997146666,2018,cargo,4,Apr,2018CargoApr30
32,18,1978878309,2018,cargo,4,Apr,2018CargoApr31
33,19,1972496026,2018,cargo,4,Apr,2018CargoApr32
34,19,1972496026,2018,cargo,4,Apr,2018CargoApr33
35,20,1906242350,2018,cargo,4,Apr,2018CargoApr34
36,21,1896915247,2018,cargo,4,Apr,2018CargoApr35
37,22,1882261672,2018,cargo,4,Apr,2018CargoApr36
38,23,1850452968,2018,cargo,4,Apr,2018CargoApr37
39,23,1850452968,2018,cargo,4,Apr,2018CargoApr38
40,23,1850452968,2018,cargo,4,Apr,2018CargoApr39
41,23,1850452968,2018,cargo,4,Apr,2018CargoApr40
42,24,1828359696,2018,cargo,4,Apr,2018CargoApr41
43,25,1823726225,2018,cargo,4,Apr,2018CargoApr42
44,26,1690151765,2018,cargo,4,Apr,2018CargoApr43
45,27,1652536185,2018,cargo,4,Apr,2018CargoApr44
46,27,1652536185,2018,cargo,4,Apr,2018CargoApr45
47,28,1651428064,2018,cargo,4,Apr,2018CargoApr46
48,28,1651428064,2018,cargo,4,Apr,2018CargoApr47
49,29,1651057521,2018,cargo,4,Apr,2018CargoApr48
50,29,1651057521,2018,cargo,4,Apr,2018CargoApr49
51,30,1614691402,2018,cargo,4,Apr,2018CargoApr50
52,31,1614338189,2018,cargo,4,Apr,2018CargoApr51
53,32,1593034911,2018,cargo,4,Apr,2018CargoApr52
54,32,1593034911,2018,cargo,4,Apr,2018CargoApr53
55,33,1568681381,2018,cargo,4,Apr,2018CargoApr54
56,33,1568681381,2018,cargo,4,Apr,2018CargoApr55
